family,model,data_mode,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,train_mape,test_mape,time_s,best_estimator
linear_models,LinearRegression,all_variables,14.725479113936606,14.796820419016354,12.550053210856515,12.612224948983464,0.44168194549352435,0.43774711136165745,2687989572524037.0,2689288386884258.0,4.47844934463501,LinearRegression()
linear_models,LinearRegression,top_vars,15.223731329434031,15.309503934578798,12.889728667904059,12.958864422893047,0.403260170898848,0.39811000161032306,2115288646960916.0,2099011811927019.8,1.94146728515625,LinearRegression()
linear_models,LinearRegression,pca,15.588732832203426,15.641398709680814,13.189364986567085,13.233404080324853,0.3743024826781358,0.3717303762184345,1827335756164846.0,1809648121846385.5,1.8294122219085693,LinearRegression()
linear_models,LinearRegression,autoencoder,14.985728471387171,15.063107780953564,12.773960115382703,12.843195410303752,0.42177279298237935,0.4173281238473242,2326310941453986.5,2331304467388501.0,2.571457862854004,LinearRegression()
linear_models,Ridge,all_variables,14.726605282120515,14.793863838152394,12.552219001377082,12.610828643625801,0.4415965446630824,0.43797177855446146,2679943193638493.5,2683151763386695.5,1.6599197387695312,Ridge(alpha=10.0)
linear_models,Ridge,top_vars,15.22374711469617,15.309337308622467,12.889968819383133,12.95880702012628,0.4032589333967781,0.3981231032694289,2114080707361063.5,2097569586509021.0,0.4806492328643799,Ridge(alpha=0.1)
linear_models,Ridge,pca,15.588732835228639,15.64139800066064,13.18936911332207,13.23340598361981,0.3743024824352851,0.3717304331770015,1827303409933095.8,1809613581792488.8,0.6111476421356201,Ridge(alpha=10.0)
linear_models,Ridge,autoencoder,14.985735280395797,15.062958927085917,12.774275446760788,12.843392576051466,0.42177226752845265,0.417339639735685,2325425981007498.0,2330294884235115.5,0.5221412181854248,Ridge(alpha=10.0)
tree_models,RandomForestRegressor,all_variables,9.472475392722071,9.821388534801015,7.8875423364323325,8.180515255532427,0.7689692567025326,0.7522916345959348,1489260465339224.0,1517774208846875.0,14.83309030532837,"RandomForestRegressor(max_depth=20, max_features='sqrt', min_samples_split=100,
                      n_estimators=20, random_state=2025)"
tree_models,RandomForestRegressor,top_vars,14.86593411451173,15.213429674926706,12.618694738586967,12.89739162596796,0.4309804193585197,0.40564057781719265,2541519223856917.0,2549497528885580.0,20.608235120773315,"RandomForestRegressor(max_depth=10, max_features='sqrt', min_samples_split=100,
                      n_estimators=40, random_state=2025)"
tree_models,RandomForestRegressor,pca,14.899571752020828,15.485472366497389,12.721652449942543,13.16580504267029,0.42840242740299217,0.3841941583823404,2253341086546746.5,2329566875872760.5,70.47899508476257,"RandomForestRegressor(max_depth=10, max_features='sqrt', min_samples_split=100,
                      n_estimators=40, random_state=2025)"
tree_models,RandomForestRegressor,autoencoder,9.849975411221521,11.077451432693161,8.181836947095928,9.1743710985184,0.7501881149167605,0.6848809935545987,1935982848550586.2,2126291791851524.0,199.87265825271606,"RandomForestRegressor(max_depth=20, max_features='sqrt', min_samples_split=100,
                      n_estimators=40, random_state=2025)"
